PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240730;07;2024;7858603;1;1;01;;2;590.19988157;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;5;;;;200000;;;;;;;;;;1;;;3
20240730;07;2024;7858604;1;1;01;;2;576.66288826;08;1;1;2;1;1;1;2;1;3;1;1;3;1;2;1;1;1;1;3;1;;;40000000;60000;;;;;;;;;;1;;;2
20240730;07;2024;7858605;1;1;01;;2;583.52890939;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;3;;;;;50000;;;;;;;;;1;;;2
20240730;07;2024;7858606;1;1;01;;2;729.33401731;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;1;;;45000000;100000;;;;;;;;;;1;;;5
20240730;07;2024;7858607;1;1;01;;2;636.45128793;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;5;;;;300000;;;;;;;;;;1;;;5
20240730;07;2024;7858608;1;1;01;;2;828.65012367;08;1;1;2;1;1;1;2;1;3;1;1;3;1;2;1;1;1;1;5;3;;;;;60000;;;;;;;;;1;;;3
20240730;07;2024;7858609;1;1;01;;2;734.21854631;08;1;1;2;1;1;1;2;1;3;1;1;3;1;2;1;1;1;1;3;1;;;50000000;80000;;;;;;;;;;1;;;1
20240730;07;2024;7858610;1;1;01;;2;599.78859144;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;1;3;1;;;25000000;150000;;;1;;;;;;;;;;3
20240730;07;2024;7858611;1;1;01;;2;646.03999779;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;2;3;3;;;;;80000;;;;;;;;;1;;;5
20240730;07;2024;7858612;1;1;01;;2;650.00186809;08;1;1;2;1;1;1;2;1;3;1;1;3;2;2;1;1;1;2;3;3;;;;;100000;;1;;;;;;;;;;6
20240730;07;2024;7858613;1;1;01;;1;496.39288152;44;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;98;98;;;;;;;;;;1;;;1
20240730;07;2024;7858614;1;1;01;;1;436.90474366;44;2;1;2;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;98;250000;;;;;;;;;;1;;;2
20240730;07;2024;7858615;1;1;01;;1;575.39183851;44;3;1;2;1;3;2;1;1;3;1;1;1;1;1;1;1;1;1;4;4;;;;250000;;;;;;;;;;1;;;2
20240730;07;2024;7858616;1;1;01;;1;327.41772329;44;2;1;2;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;400000;;;1;;;;;;;;;;4
20240730;07;2024;7858618;1;1;01;;1;704.01789337;44;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;150000;;1;;;;;;;;;;3
20240730;07;2024;7858619;1;1;01;;1;761.0290289;44;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;280000;;1;;;;;;;;;;3
20240730;07;2024;7858620;1;1;01;;1;831.5775502;44;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;5
20240730;07;2024;7858621;1;1;01;;1;455.61180764;44;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;10;1;3;3;;;;;550000;;;;;;;;;1;;;2
20240730;07;2024;7858622;1;1;01;;1;590.17735501;44;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;2
20240730;07;2024;7858623;1;1;01;;1;868.89718762;44;1;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;450000;;1;;;;;;;;;;2
20240730;07;2024;7858624;1;1;01;;1;723.95246057;44;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;10;1;3;3;;;;;350000;;1;;;;;;;;;;2
20240730;07;2024;7858625;1;1;01;;1;873.60985006;44;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;10;1;3;4;;;;450000;;;;;;;;1;;;;;2
20240730;07;2024;7858626;1;1;01;;1;588.50967773;44;2;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;250000;;;;;;;;;1;;;4
20240730;07;2024;7858627;1;1;01;;1;934.64022988;44;2;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;350000;;;;;;;;;1;;;1
20240730;07;2024;7858628;1;1;01;;1;934.64022988;44;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;1;10;3;3;4;;;;250000;;;;;;;;;;1;;;1
20240730;07;2024;7858629;1;1;01;;1;900.34115858;44;2;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;250000;;;;;;;;;1;;;4
20240730;07;2024;7858630;1;1;01;;1;629.42121089;44;2;1;2;1;1;1;2;1;3;1;1;2;1;2;1;1;1;1;3;3;;;;;320000;;;;;;;;;1;;;3
20240730;07;2024;7858631;1;1;01;;1;613.12032172;44;1;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;10;1;3;3;;;;;300000;;1;;;;;;;;;;3
20240730;07;2024;7858632;1;1;01;;1;558.4419917;44;3;1;2;1;1;1;2;1;3;1;1;1;1;2;2;1;1;1;4;1;;;98;200000;;;;;;;;;;1;;;1
20240730;07;2024;7858633;1;1;01;;1;596.05229939;44;1;4;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;150000;;;;;;;;;1;;;2
20240730;07;2024;7858635;1;1;01;;2;2854.062649;52;1;1;2;1;1;2;2;1;1;1;1;3;2;2;1;1;1;1;4;1;;;40000000;100000;;;;;;;;;;1;;;2
20240730;07;2024;7858636;1;1;01;;2;3127.5545295;52;1;1;2;1;1;2;2;1;1;1;1;4;3;2;1;1;1;1;5;3;;;;;120000;;;;;;;;;1;;;3
20240730;07;2024;7858637;1;1;01;;2;2356.0140647;52;1;1;2;1;1;2;2;1;1;1;2;1;1;2;2;1;1;1;5;1;;;20000000;200000;;;;;;;;;;1;;;1
20240730;07;2024;7858637;2;2;01;;2;2356.0140647;52;1;1;2;1;1;2;2;1;1;1;2;1;1;2;2;1;1;1;4;4;;;;200000;;;;;;;;;;1;;;2
20240730;07;2024;7858638;1;1;01;;2;2971.2368341;52;1;1;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1;1;4;4;;;;100000;;;;;;;;;;1;;;2
20240730;07;2024;7858639;1;1;01;;2;3720.2439048;52;1;1;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1;1;4;3;;;;;80000;;;;;;;;;1;;;1
20240730;07;2024;7858640;1;1;01;;2;2977.3898984;52;1;1;2;1;1;2;2;1;1;1;1;3;1;2;1;1;1;1;4;5;;;;100000;;;;;;;;;;1;;;1
20240730;07;2024;7858641;1;1;01;;2;3720.2439048;52;1;1;4;1;1;2;2;1;1;1;1;3;1;4;1;1;1;1;4;3;;;;;130000;;;;;;;;;1;;;1
20240730;07;2024;7858642;1;1;01;;2;2787.8858423;52;1;1;2;1;1;2;2;1;1;1;1;3;3;2;1;1;1;2;4;1;;;30000000;100000;;;1;;;;;;;;;;3
20240730;07;2024;7858643;1;1;01;;2;3022.4302692;52;1;1;4;1;1;2;2;1;1;1;1;3;2;2;1;1;1;1;4;1;;;98;150000;;;;;;;;;;1;;;3
20240730;07;2024;7858644;1;1;01;;2;2630.3079283;52;1;1;2;1;1;2;2;1;1;1;1;2;1;2;1;1;1;1;4;5;;;;100000;;;;;;;;;;1;;;2
20240730;07;2024;7858645;1;1;01;;2;2630.3079283;52;1;1;2;1;1;2;2;1;1;1;1;3;1;2;1;1;1;1;4;1;;;50000000;150000;;;1;;;;1;;1;;;PRESTAMOS PARTICULARES;2
20240730;07;2024;7858646;1;1;01;;2;2630.3079283;52;1;1;2;1;1;2;2;2;;1;1;3;1;2;1;4;1;1;5;1;;;20000000;300000;;;;;;;;;;1;;;2
