PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240730;07;2024;7858603;1;2;1;70;;2;590.19988157;08;1;;;;;1;;48;1000000;1;1;0;4;3;1;2;2;;1;400000;.;9111;97;9700;
20240730;07;2024;7858605;1;2;1;70;;2;583.52890939;08;;1;1;9;1;;;40;1300000;2;;;;;;;2;;2;;4224;;;;
20240730;07;2024;7858606;1;3;1;70;;2;729.33401731;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240730;07;2024;7858607;1;2;1;70;;2;636.45128793;08;1;;;;;;;;;1;108;0;1;3;1;2;2;;2;;.;9111;97;9700;
20240730;07;2024;7858607;1;3;1;70;;2;636.45128793;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240730;07;2024;7858608;1;2;1;70;;2;828.65012367;08;1;;;;;;;;;1;18;0;3;4;1;2;2;;2;;.;5223;47;4773;
20240730;07;2024;7858613;1;1;1;70;;1;496.39288152;44;1;;;;;;;;;1;240;4;3;4;1;2;2;;2;;.;5221;47;4711;
20240730;07;2024;7858614;1;1;1;70;;1;436.90474366;44;1;;;;;;;;;1;60;4;4;4;2;2;2;;2;;.;7522;31;3110;
20240730;07;2024;7858614;1;2;1;70;;1;436.90474366;44;1;;;;;;;;;1;36;4;4;4;1;2;2;;2;;.;1420;47;4724;
20240730;07;2024;7858616;1;4;1;70;;1;327.41772329;44;1;;;;;;;;;1;120;4;4;4;1;2;2;;2;;.;8323;49;4921;
20240730;07;2024;7858618;1;1;1;70;;1;704.01789337;44;1;;;;;;;;;1;84;4;4;4;2;2;2;;2;;.;5120;56;5611;
