PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240626;06;2024;7798973;1;1;01;;2;1213.1859412;05;2;1;4;1;2;2;1;1;2;1;1;4;2;1;1;1;1;1;4;3;;;;;450000;;;;;;;;;1;;;4
20240626;06;2024;7798974;1;1;01;;2;590.47585276;05;2;1;4;1;2;2;1;1;2;1;1;4;1;1;1;1;1;1;4;3;;;;;450000;;1;;;;;;;;;;2
20240626;06;2024;7798975;1;1;01;;2;1058.2987441;05;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;3
20240626;06;2024;7798976;1;1;01;;2;912.41957924;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;3;3;1;;;98;300000;;;1;;;;;;;;;;3
20240626;06;2024;7798977;1;1;01;;2;736.35501758;05;1;5;2;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;4;5;;;;200000;;;;;;;;;;1;;;2
20240626;06;2024;7798978;1;1;01;;2;925.12811069;05;2;1;4;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;550000;;1;;;;;;;;;;3
20240626;06;2024;7798979;1;1;01;;2;781.52112301;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;3
20240626;06;2024;7798980;1;1;01;;2;927.50006408;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;5
20240626;06;2024;7798981;1;1;01;;2;796.5018316;05;2;1;2;1;2;2;1;1;2;1;1;3;2;1;1;1;1;1;4;3;;;;;480000;;1;;;;;;;;;;3
20240626;06;2024;7798982;1;1;01;;2;1159.6636301;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;3
20240626;06;2024;7798983;1;1;01;;2;520.52227319;05;1;1;4;1;3;2;2;2;;1;1;3;2;2;1;5;1;1;4;4;;;;500000;;;1;;;;;;;;;;3
20240626;06;2024;7798984;1;1;01;;2;686.57829679;05;1;1;4;1;3;2;2;2;;1;1;3;2;2;1;5;1;1;4;4;;;;1000000;;;1;;;;;;;;;;4
20240626;06;2024;7798985;1;1;01;;2;575.55416067;05;1;1;4;1;3;2;2;2;;1;1;4;3;2;1;5;1;1;4;1;;;98;900000;;;1;;;;;1;;;;;6
20240626;06;2024;7798986;1;1;01;;2;426.62117363;05;1;1;4;1;3;2;2;2;;1;1;3;1;2;1;5;1;1;4;3;;;;;500000;;1;;;;;;;;;;2
20240626;06;2024;7798987;1;1;01;;2;720.32486618;05;1;1;2;1;3;2;2;2;;1;1;3;2;2;1;5;1;1;4;3;;;;;500000;;1;;;;;;;;;;2
20240626;06;2024;7798988;1;1;01;;2;257.95167123;05;1;1;4;1;3;2;2;2;;1;1;3;1;2;1;5;1;1;4;1;;;900000000;1500000;;;1;;;;;;;;;;2
20240626;06;2024;7798989;1;1;01;;2;548.62154539;05;1;1;4;1;3;2;2;2;;1;1;1;1;2;1;5;1;1;4;4;;;;150000;;;1;;;;;;;;;;1
20240626;06;2024;7798990;1;1;01;;2;548.62154539;05;1;1;4;1;3;2;2;2;;1;1;3;1;2;1;5;1;1;4;4;;;;500000;;;;;;;;;;1;;;1
20240626;06;2024;7798991;1;1;01;;2;426.62117363;05;1;1;4;1;3;2;2;2;;1;1;3;1;2;1;5;1;1;4;5;;;;400000;;;;;;;;;;1;;;2
20240626;06;2024;7798992;1;1;01;;2;496.48689763;05;1;1;4;1;3;2;2;2;;1;1;3;3;2;1;5;1;1;4;1;;;98;600000;;;1;;;;;;;;;;4
20240626;06;2024;7798993;1;1;01;;1;190.71842527;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;200000000;500000;;;1;;;;;;;;;;3
20240623;06;2024;7798994;1;1;01;;1;132.86765298;05;2;1;4;1;4;1;1;1;3;1;1;6;4;1;1;1;1;1;3;3;;;;;2000000;;1;;;;;1;;;;;5
20240623;06;2024;7798995;1;1;01;05;1;2832.6063063;05;2;1;4;1;4;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;350000000;1800000;;;1;;;;;;;;;;1
20240623;06;2024;7798996;1;1;01;05;1;1844.7118122;05;2;1;4;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;;;;;550000;;1;;;;;;;;;;2
20240623;06;2024;7798997;1;1;01;05;1;1122.0104027;05;2;1;4;1;4;2;1;1;2;1;1;5;1;1;1;1;1;1;1;4;;;;1500000;;;1;1;;;;;;;;;1
20240623;06;2024;7798998;1;1;01;05;1;1120.6222786;05;2;1;4;1;4;2;1;1;2;1;1;5;1;1;1;1;1;1;1;4;;;;1800000;;;1;1;;;;1;;;;;1
20240623;06;2024;7798999;1;1;01;05;1;1007.0644136;05;2;1;4;1;4;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;300000000;1300000;;;1;;;;;;;;;;2
20240623;06;2024;7799000;1;1;01;05;1;4026.0052131;05;2;1;4;1;4;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;1633000;;1;;;;;1;;;;;2
20240623;06;2024;7799001;1;1;01;05;1;2383.3949854;05;2;1;4;1;4;1;1;1;2;1;1;4;1;1;1;1;1;1;3;3;;;;;2000000;;1;;;;1;1;;;;;1
20240623;06;2024;7799002;1;1;01;05;1;870.09568986;05;2;1;4;1;4;1;1;1;2;1;1;5;2;1;1;1;1;1;3;2;;1000000;98;1500000;;;1;;1;;1;;;;;;3
20240623;06;2024;7799003;1;1;01;05;1;1591.2147529;05;2;1;4;1;2;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;300000000;1000000;;;1;;;;1;;;;;;1
20240623;06;2024;7799004;1;1;01;05;1;1591.2147529;05;2;1;2;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;1;;;60000000;300000;;;1;;;;;;;;;;1
20240623;06;2024;7799005;1;1;01;05;1;673.71600903;05;2;1;4;1;1;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;3
20240623;06;2024;7799006;1;1;01;05;1;761.7069019;05;2;1;4;1;1;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;150000000;400000;;;1;;;;;;;;;;2
20240623;06;2024;7799007;1;1;01;05;1;1589.2461406;05;3;1;4;1;2;2;1;1;2;1;1;1;1;1;2;1;1;6;;3;;;;;400000;;;;;;;;;1;;;1
20240623;06;2024;7799008;1;1;01;05;1;2911.0621534;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;200000000;1500000;;;1;;;;;;;;;;4
20240623;06;2024;7799009;1;1;01;05;1;1592.2055389;05;3;1;4;1;3;1;1;1;2;1;1;1;1;1;2;1;1;1;3;3;;;;;420000;;1;;;;;;;;;;1
20240623;06;2024;7799010;1;1;01;05;1;6222.21316;05;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;700000;;1;;;;;;;;;;5
20240623;06;2024;7799011;1;1;01;05;1;1365.6462951;05;2;1;4;1;3;1;1;1;2;1;1;5;4;1;1;1;1;1;3;3;;;;;2100000;;1;;;;;;;;;;5
20240623;06;2024;7799012;1;1;01;05;1;1037.2362834;05;2;1;4;1;5;1;1;1;2;1;1;7;1;1;1;1;1;1;3;1;;;950000000;4000000;;;1;;;;;;;;;;1
20240623;06;2024;7799013;1;1;01;05;1;1592.2055389;05;3;1;4;1;3;1;1;1;2;1;1;1;1;1;2;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;1
20240623;06;2024;7799014;1;1;01;05;1;1188.7605149;05;2;1;4;1;5;1;1;1;2;1;1;4;2;1;1;1;1;1;3;2;;3000000;999999999;9000000;;;1;;1;1;;;;;;;3
20240623;06;2024;7799015;1;1;01;05;1;1015.5942452;05;2;1;4;1;5;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;1800000;;1;;;;;;;;;;1
20240623;06;2024;7799016;1;1;01;05;1;1160.0332405;05;2;1;4;1;5;1;1;1;2;1;1;4;1;1;1;1;1;1;3;3;;;;;2000000;;1;;;1;;1;;;;;2
20240623;06;2024;7799017;1;1;01;05;1;1688.7323463;05;3;1;4;1;3;1;1;1;2;1;1;1;1;1;2;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;1
20240623;06;2024;7799018;1;1;01;05;1;1805.4300321;05;2;1;4;1;2;2;2;1;2;1;1;3;2;3;1;1;1;1;4;1;;;100000000;800000;;;1;;;;;1;;;;;3
20240623;06;2024;7799019;1;1;01;05;1;1826.2646941;05;1;1;4;1;2;2;2;1;2;1;1;1;1;3;1;1;1;1;4;3;;;;;400000;;1;;;;;;;;;;2
20240623;06;2024;7799020;1;1;01;05;1;2169.4474091;05;2;1;4;1;2;2;2;1;2;1;1;3;2;3;1;1;1;3;5;3;;;;;600000;;;;;;;;;1;;;3
20240623;06;2024;7799021;1;1;01;05;1;1842.4092664;05;2;1;4;1;2;2;2;1;2;1;1;3;2;3;1;1;1;1;4;3;;;;;500000;;1;;;;;;;;;;1
20240623;06;2024;7799022;1;1;01;05;1;1019.5122052;05;1;1;4;1;2;1;2;1;2;1;1;6;5;3;1;1;1;1;3;1;;;100000000;400000;;;1;;;;;;;;;;5
20240623;06;2024;7799023;1;1;01;05;1;1485.5712128;05;1;1;4;1;2;1;2;1;2;1;1;4;3;3;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;3
20240623;06;2024;7799024;1;1;01;05;1;1429.5396387;05;2;1;4;1;2;1;2;1;2;1;1;5;4;3;1;1;1;1;3;1;;;80000000;400000;;;1;;;;;;;;;;5
20240623;06;2024;7799025;1;1;01;05;1;1721.5048489;05;2;1;4;1;2;2;2;1;2;1;1;1;1;3;1;1;1;1;4;3;;;;;300000;;;;;;;;;1;;;3
20240623;06;2024;7799026;1;1;01;05;1;942.6122911;05;2;1;4;1;4;1;1;1;2;1;1;5;1;1;1;1;1;1;3;1;;;400000000;1900000;;;1;;;;;;;;;;2
20240623;06;2024;7799027;1;1;01;05;1;1088.8567739;05;2;1;4;1;4;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;450000000;2000000;;;1;;;;;;;;;;3
20240623;06;2024;7799028;1;1;01;05;1;814.40956571;05;2;1;4;1;4;1;1;1;2;1;1;5;3;1;1;1;1;1;3;1;;;600000000;2000000;;;1;;;;;;;;;;3
20240623;06;2024;7799029;1;1;01;05;1;2563.4391531;05;2;1;4;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;1700000;;1;;;;;;;;;;2
20240623;06;2024;7799030;1;1;01;05;1;2276.5641658;05;2;1;4;1;3;1;1;1;2;1;1;4;2;1;1;1;1;1;3;3;;;;;1300000;;1;;;;1;1;;;;;3
20240623;06;2024;7799031;1;1;01;11;1;3992.287656;11;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;10;1;3;3;;;;;1200000;;1;;;;;;;;;;2
20240623;06;2024;7799032;1;1;01;11;1;6294.7429308;11;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;2;;600000;200000000;900000;;;1;;1;;;;;;;;1
20240623;06;2024;7799033;1;1;01;11;1;3380.1556649;11;1;1;3;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;200000;;;;;;;;;1;;;1
20240623;06;2024;7799034;1;1;01;11;1;3222.4150672;11;2;1;4;1;4;2;1;1;3;1;1;4;1;1;1;1;1;1;1;1;;;320000000;1800000;;;1;;;;;;;;;;1
20240623;06;2024;7799035;1;1;01;11;1;3417.3146266;11;2;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;505000000;1800000;;;1;;;;;1;;;;;2
20240623;06;2024;7799036;1;1;01;11;1;2458.1366222;11;2;1;4;1;4;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1650000;;1;;;;;;;;;;3
20240623;06;2024;7799038;1;1;01;11;1;3222.4150672;11;2;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;1;1;1;4;;;;1200000;;;1;;;;;;;;;;1
20240623;06;2024;7799039;1;1;01;11;1;3537.4267965;11;1;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;100000000;1000000;;;1;;;;;;;;;;1
