PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240626;06;2024;7798975;1;3;1;70;;2;1058.2987441;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798976;1;2;1;70;;2;912.41957924;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798978;1;1;1;70;;2;925.12811069;05;1;;;;;;;;;1;10;0;4;1;4;2;2;;2;;.;9112;87;8710;
20240626;06;2024;7798980;1;3;1;70;;2;927.50006408;05;;2;1;52;1;;;48;1300000;1;5;2;3;1;4;2;2;;2;;5223;1412;56;5630;
20240626;06;2024;7798982;1;1;1;70;;2;1159.6636301;05;1;;;;;;;;;1;10;0;1;1;5;2;2;;2;;.;5223;10;1081;
20240626;06;2024;7798982;1;3;1;70;;2;1159.6636301;05;;1;1;4;1;;;60;1300000;1;1;1;7;1;4;2;2;;1;600000;9313;7522;16;1690;
20240626;06;2024;7798983;1;2;1;70;;2;520.52227319;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798984;1;1;1;70;;2;686.57829679;05;1;;;;;;;;;1;360;2;5;1;3;2;2;;2;;.;7132;45;4520;
20240626;06;2024;7798984;1;2;1;70;;2;686.57829679;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798985;1;2;1;70;;2;575.55416067;05;1;;;;;;;;;1;240;0;8;4;10;2;2;;2;;.;3341;84;8412;
20240626;06;2024;7798986;1;2;1;70;;2;426.62117363;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798988;1;1;1;70;;2;257.95167123;05;1;;;;;;;;;1;360;0;5;1;7;2;3;;2;;.;1439;68;6820;
20240626;06;2024;7798992;1;4;1;70;;2;496.48689763;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240626;06;2024;7798993;1;1;1;70;;1;190.71842527;05;1;;;;;;;;;1;60;0;4;1;10;2;3;;2;;.;8331;49;4921;
20240623;06;2024;7798995;1;1;1;70;05;1;2832.6063063;05;1;;;;;;;;;1;18;2;5;2;10;2;3;;2;;.;2330;85;8530;
20240623;06;2024;7798997;1;1;1;70;05;1;1122.0104027;05;1;;;;;;;;;1;276;0;5;2;10;2;3;;2;;.;2622;85;8544;
20240623;06;2024;7798999;1;1;1;70;05;1;1007.0644136;05;1;;;;;;;;;1;48;0;4;4;1;2;2;;2;;.;8324;49;4921;
20240623;06;2024;7798999;1;2;1;70;05;1;1007.0644136;05;1;;;;;;;;;1;300;0;5;2;10;2;3;;2;;.;5321;86;8610;
