PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240522;05;2024;7770597;1;1;01;;1;434.86906158;63;1;1;4;1;2;1;1;1;7;1;1;2;1;1;1;1;1;1;3;3;;;;;300000;;;;;;;;;1;;;2
20240522;05;2024;7770598;1;1;01;;1;621.29567684;63;2;1;2;1;2;1;1;1;7;1;1;2;1;1;1;1;1;1;3;4;;;;300000;;;;;;;;;;1;;;2
20240522;05;2024;7770599;1;1;01;;1;434.86906158;63;2;1;4;1;2;1;1;1;7;1;1;3;2;1;1;1;1;1;3;1;;;100000000;500000;;;1;;;;;;;;;;2
20240522;05;2024;7770600;1;1;01;;1;516.68462047;63;3;4;2;1;2;2;1;1;7;1;1;1;1;1;2;1;1;1;4;3;;;;;220000;;;;;;;;;1;;;1
20240522;05;2024;7770601;1;1;01;;1;516.68462047;63;3;4;2;1;2;2;1;1;7;1;1;1;1;1;2;1;1;6;;3;;;;;150000;;;;;;;;;1;;;1
20240518;05;2024;7770602;1;1;01;;1;251.75656081;05;1;1;4;1;4;2;1;1;3;1;1;4;3;1;1;1;1;1;4;3;;;;;1800000;;1;;;;;;;;;;4
20240522;05;2024;7770603;1;1;01;;1;204.30730339;05;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1000000;;1;;;;;;;;;;4
20240518;05;2024;7770604;1;1;01;;1;267.10952669;05;1;1;4;1;4;1;1;1;3;1;1;5;2;1;1;1;1;1;3;1;;;350000000;2000000;;;1;;;;;;;;;;2
20240518;05;2024;7770605;1;1;01;;1;251.91570984;05;1;1;4;1;4;1;1;1;3;1;1;5;2;1;1;1;1;1;3;1;;;350000000;2000000;;;1;;;;;;;;;;3
20240522;05;2024;7770606;1;1;01;;1;243.28893602;05;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;2;;500000;99;800000;;;1;;1;;;;;;;;4
