PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240522;05;2024;7770599;1;2;1;70;;1;434.86906158;63;1;;;;;;;;;1;240;0;3;6;2;2;2;;2;;.;5120;01;0161;
20240522;05;2024;7770603;1;3;1;70;;1;204.30730339;05;1;;;;;;;;;1;12;0;3;4;1;2;2;;2;;.;5311;88;8891;
20240518;05;2024;7770604;1;2;1;70;;1;267.10952669;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240518;05;2024;7770605;1;3;1;70;;1;251.91570984;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240522;05;2024;7770606;1;1;1;70;;1;243.28893602;05;;2;1;16;1;;;47;1300000;1;4;0;8;4;9;2;2;;2;;4415;4415;78;7820;
20240522;05;2024;7770606;1;4;1;70;;1;243.28893602;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240522;05;2024;7770607;1;1;1;70;;1;235.82445649;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240518;05;2024;7770609;1;2;1;70;;1;241.49212487;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240518;05;2024;7770610;1;3;1;70;;1;169.12216964;05;1;;;;;;;;;1;3;0;2;1;5;2;2;;1;1000000;.;2512;71;7112;
20240518;05;2024;7770610;1;4;1;70;;1;169.12216964;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240522;05;2024;7770612;1;3;1;70;;1;366.11953805;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240522;05;2024;7770613;1;2;1;70;;1;283.35075985;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
