P3094S3,P3087S1,P3095S3,P3101
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,1300000,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
15000,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
10000,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
NA,NA,NA,2
